                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.83813,                0.49348,                0.99369,                 0.9536,                0.96154,                 0.9748,                0.86162,                0.55204,                0.35273,                0.87599,               0.006436,               0.006436,               0.006436
                     38,                0.83277,                0.48532,                0.99279,                0.95752,                0.96801,                0.98276,                0.86031,                0.54882,                0.34351,                0.87286,               0.006337,               0.006337,               0.006337
                     39,                0.82624,                0.47732,                0.98499,                0.96108,                0.96272,                0.97816,                0.85998,                0.54821,                0.34132,                0.87734,               0.006238,               0.006238,               0.006238
                     40,                0.82436,                0.47652,                0.98351,                  0.965,                0.95175,                0.98073,                0.86261,                0.55715,                0.34809,                0.87437,               0.006139,               0.006139,               0.006139
                     41,                0.80665,                 0.4656,                0.97961,                0.96093,                0.96041,                0.97816,                0.86099,                0.54209,                0.33898,                0.87703,                0.00604,                0.00604,                0.00604
                     42,                0.81114,                0.46747,                0.98236,                0.95597,                0.96193,                0.98007,                0.86424,                 0.5353,                0.33914,                0.87146,               0.005941,               0.005941,               0.005941
                     43,                0.79378,                0.45774,                0.97383,                0.96651,                0.95028,                0.98146,                0.87242,                0.53568,                0.34296,                0.87056,               0.005842,               0.005842,               0.005842
                     44,                0.80762,                0.46247,                0.98424,                0.96297,                0.96103,                0.98345,                0.86641,                 0.5353,                0.33504,                0.87323,               0.005743,               0.005743,               0.005743
                     45,                0.79957,                0.45635,                0.97672,                0.96363,                0.97058,                 0.9851,                0.87044,                0.52603,                0.31817,                 0.8712,               0.005644,               0.005644,               0.005644
                     46,                0.79071,                0.45664,                0.97062,                0.96705,                0.97126,                0.98076,                0.86204,                0.53408,                0.32729,                0.87327,               0.005545,               0.005545,               0.005545
                     47,                 0.7885,                0.45421,                0.97086,                0.96977,                0.96758,                0.97838,                0.86103,                0.53828,                0.32596,                0.87986,               0.005446,               0.005446,               0.005446
                     48,                0.78679,                0.45069,                0.97407,                0.96693,                0.96702,                0.98144,                0.87083,                0.53038,                0.31988,                0.87528,               0.005347,               0.005347,               0.005347
                     49,                0.77674,                0.43943,                0.96857,                0.96577,                0.96824,                0.97937,                0.86672,                0.53214,                 0.3247,                0.87455,               0.005248,               0.005248,               0.005248
                     50,                0.77053,                0.44229,                0.96566,                0.95992,                0.95409,                0.97967,                0.86482,                0.53072,                0.32991,                0.87035,               0.005149,               0.005149,               0.005149
                     51,                0.76876,                0.43331,                0.96209,                0.95611,                0.96084,                0.98002,                0.86599,                0.52682,                0.32253,                0.86982,                0.00505,                0.00505,                0.00505
                     52,                0.76341,                0.42954,                0.96039,                0.96007,                0.96399,                0.97966,                0.87048,                0.51994,                 0.3153,                0.86621,               0.004951,               0.004951,               0.004951
                     53,                0.76893,                0.43158,                0.96038,                0.96168,                 0.9649,                0.97883,                0.86801,                 0.5227,                 0.3243,                0.87129,               0.004852,               0.004852,               0.004852
                     54,                0.75992,                0.43166,                 0.9609,                0.96191,                0.96478,                0.98157,                0.86846,                0.52146,                0.31578,                0.86605,               0.004753,               0.004753,               0.004753
